r, true, experiment
1.5,-1.0497107493775149,-0.9754295396585109
0.35,-1.0324782127249015,-1.0082222726765004
0.45,-1.0362617443402724,-1.023660085311779
2.0,-0.9724744744994698,-0.8858389917602911
0.2,-1.0272612255781348,-1.0089734362639695
1.25,-1.0638310134297058,-1.0441971750359949
1.55,-1.045890709404601,-0.9429245352126583
0.55,-1.0392850239621994,-1.0117619353376295
0.7,-1.046658951711928,-1.0160827971651893
0.25,-1.0285713264808696,-1.007403868586436
1.9,-0.9901309142199367,-0.8761420018183348
2.85,-0.8706320496450434,-0.8247569169210096
1.45,-1.0550336434246872,-0.9649302350145683
1.35,-1.0609448171032052,-1.0170204487627976
2.5,-0.9006480965108701,-0.8494899270299658
1.0,-1.0597637205756967,-1.087446563883789
1.3,-1.062763861747277,-1.0203426143026126
2.6,-0.8874596507187792,-0.8482434631687668
1.95,-0.9798311216602571,-0.8818160283485753
2.25,-0.9281284249929258,-0.8493328273985841
2.55,-0.8865891713144782,-0.8547285150242806
0.85,-1.0537947736069744,-1.0307149303720742
0.4,-1.0339439695134862,-1.0049358538911615
1.85,-0.9988361402323337,-0.8817995255633325
2.3,-0.9247568227883267,-0.8809460293344983
0.95,-1.05858094757703,-1.0730134265105509
1.6,-1.0408339191583378,-0.9412585523400365
0.8,-1.0531258395865126,-1.0525572828422398
2.45,-0.9078290367824813,-0.8405846884301839
2.35,-0.912841216005112,-0.8627278361182515
2.4,-0.9161563118436927,-0.8872104990043808
1.1,-1.0628704803822298,-1.0885566521072516
1.8,-1.0101180286069797,-0.8995588059225217
2.15,-0.9453367978774545,-0.8346240076931468
0.6,-1.0430990090273842,-1.0247120227225408
2.65,-0.8764884896622689,-0.8370925923738585
2.8,-0.8686928806257138,-0.8235085604995822
0.3,-1.0289787152870253,-1.0118488725664996
2.75,-0.868169806585124,-0.8333642440552479
2.05,-0.9707890932965086,-0.8735980500387945
1.4,-1.0585418149658092,-0.9928539093952364
2.1,-0.9590625522828007,-0.8547625045809536
0.9,-1.057236404388469,-1.0670523439241955
0.75,-1.0494348817130146,-1.0823197563790856
2.2,-0.9397402628548327,-0.8464717351909911
1.7,-1.0311415155381198,-0.9200929326820974
1.15,-1.0640336454496149,-1.0716330685295457
1.65,-1.0326783769893295,-0.9209598984987284
0.5,-1.0380608769339534,-1.0049801092809598
0.65,-1.0452519125171207,-1.0280235819731078
1.2,-1.0642022250418146,-1.060482284893774
1.75,-1.0176683464200735,-0.9114146499591015
2.7,-0.8762670756779187,-0.8270660058237771
1.05,-1.061627926407983,-1.0877244445300542
