,0
0,-186.16533333333334
1,-226.52231666666665
2,-255.96271666666667
3,-280.73566666666665
4,-290.37153333333333
5,-300.3398
6,-315.7182
7,-324.56323333333336
8,-335.4852
9,-337.1021333333333
10,-342.87506666666667
11,-348.5745
12,-354.2986666666667
13,-359.66206666666665
14,-357.9304
15,-361.84226666666666
16,-366.8744
17,-370.0194333333333
18,-373.1109
19,-378.6352
20,-374.6702666666667
21,-380.50173333333333
22,-385.0065333333333
23,-385.05996666666664
24,-383.3251333333333
25,-389.2835333333333
26,-391.1498
27,-391.9619666666667
28,-393.3811666666667
29,-395.2094666666667
30,-396.2131
31,-397.1988333333333
32,-399.0706
33,-402.3286
34,-400.70713333333333
35,-401.2941333333333
36,-405.14506666666665
37,-407.8892666666667
38,-405.24326666666667
39,-405.5618
40,-407.4293333333333
41,-406.69643333333335
42,-409.132
43,-410.2983
44,-410.3265666666667
45,-410.0197333333333
46,-410.632
47,-411.3005333333333
48,-412.7819666666667
49,-413.955
50,-416.5181666666667
51,-415.7351
52,-415.093
53,-416.74913333333336
54,-418.2489
55,-417.98383333333334
56,-418.6363333333333
57,-418.34526666666665
58,-418.8635
59,-419.82593333333335
60,-419.84506666666664
61,-420.6004
62,-421.91866666666664
63,-421.45433333333335
64,-421.89913333333334
65,-422.2255
66,-423.1482
67,-421.6074
68,-424.3541333333333
69,-423.66993333333335
70,-422.5677333333333
71,-425.2792666666667
72,-424.22
73,-423.4847
74,-425.0574
75,-424.4533333333333
76,-427.1108
77,-426.0946
78,-425.67153333333334
79,-426.59493333333336
80,-427.20393333333334
81,-426.33473333333336
82,-426.6569333333333
83,-424.6256666666667
84,-427.38553333333334
85,-427.07106666666664
86,-427.4273333333333
87,-427.8260333333333
88,-428.34
89,-428.4145
90,-428.0269
91,-429.09433333333334
92,-427.561
93,-427.92203333333333
94,-427.68053333333336
95,-429.8867666666667
96,-429.22433333333333
97,-428.6494666666667
98,-429.08306666666664
99,-429.2188
