,0
0,-474.4970666666667
1,-541.5196666666667
2,-600.9536
3,-643.6908666666667
4,-669.7623333333333
5,-696.7813333333334
6,-721.4722666666667
7,-732.7176
8,-745.8071333333334
9,-759.6997333333334
10,-768.7178
11,-774.3390666666667
12,-781.436
13,-787.1843333333334
14,-796.3621333333333
15,-800.6048666666667
16,-805.1648666666666
17,-806.6188666666667
18,-814.0446
19,-815.8606666666667
20,-815.6330666666667
21,-820.473
22,-821.1524
23,-826.4040666666667
24,-827.7406666666667
25,-833.235
26,-833.1438666666667
27,-836.3808666666666
28,-835.446
29,-837.4818666666666
30,-842.6082666666666
31,-847.0424666666667
32,-846.9257333333334
33,-848.4288
34,-850.9393333333334
35,-850.6577333333333
36,-850.103
37,-853.8850666666667
38,-850.4926666666667
39,-854.9998666666667
40,-856.6318666666666
41,-857.2486666666666
42,-860.1684
43,-858.4286666666667
44,-860.9814666666666
45,-866.109
46,-862.7193333333333
47,-864.8693333333333
48,-864.0749333333333
49,-869.5750666666667
50,-872.6999333333333
51,-866.4893333333333
52,-871.9834666666667
53,-872.6186
54,-874.5754666666667
55,-872.852
56,-871.1332
57,-870.8594666666667
58,-875.7375333333333
59,-875.6951333333334
60,-877.7286666666666
61,-880.1898666666667
62,-878.1172
63,-878.3894
64,-880.864
65,-881.2908
66,-880.1911333333334
67,-881.8266666666667
68,-882.7326
69,-882.7522666666666
70,-882.0946666666666
71,-885.0217333333334
72,-883.6364
73,-883.3948
74,-883.7331333333333
75,-888.7006666666666
76,-890.1479333333333
77,-889.1612
78,-886.8560666666667
79,-885.9582666666666
80,-890.7847333333333
81,-890.1336
82,-891.5094666666666
83,-893.0484
84,-890.3038666666666
85,-893.4991333333334
86,-890.7810666666667
87,-893.7458666666666
88,-893.0106666666667
89,-895.5161333333333
90,-894.6449333333334
91,-894.6850666666667
92,-900.5751333333334
93,-896.7258666666667
94,-896.6854666666667
95,-897.4578666666666
96,-898.5778666666666
97,-898.8178666666666
98,-897.8825333333333
99,-897.6325333333333
100,-900.5996
101,-899.2762
102,-901.0102666666667
103,-896.3674666666667
104,-897.7682666666667
105,-894.4432666666667
106,-900.6137333333334
107,-901.6930666666667
108,-900.9755333333334
109,-901.7449333333333
110,-901.615
111,-900.84
112,-902.8894666666666
113,-898.46
114,-903.3480666666667
115,-906.9757333333333
116,-905.2505333333334
117,-903.6016666666667
118,-908.2537333333333
119,-905.4528666666666
120,-906.7102666666667
121,-908.4125333333334
122,-906.7104
123,-907.1046666666666
124,-907.3194666666667
125,-907.7712
126,-909.2301333333334
127,-908.9336666666667
128,-906.8102
129,-907.1514
130,-908.6131333333333
131,-910.317
132,-910.6452
133,-909.4794666666667
134,-910.8084666666666
135,-912.6238666666667
136,-909.6806666666666
137,-911.8308666666667
138,-911.9987333333333
139,-911.3986
140,-910.6626
141,-908.3958666666666
