,0
0,-4332.3928
1,-4844.9848
2,-5142.5204
3,-5411.0296
4,-5572.4356
5,-5701.5276
6,-5818.3056
7,-5928.7608
8,-6037.596
9,-6125.0472
10,-6173.884
11,-6247.1864
12,-6307.4776
13,-6366.7776
14,-6425.8544
15,-6472.238
16,-6534.6152
17,-6576.3112
18,-6609.5856
19,-6659.8692
20,-6692.038
21,-6734.4304
22,-6768.8688
23,-6802.6008
24,-6830.9904
25,-6855.7776
26,-6895.6456
27,-6919.2552
28,-6946.456
29,-6968.12
30,-6991.0488
31,-7016.832
32,-7046.4224
33,-7064.66
34,-7089.5056
35,-7106.0992
36,-7137.0016
37,-7152.3968
38,-7178.464
39,-7198.4832
40,-7216.5248
41,-7238.328
42,-7263.1088
43,-7285.6368
44,-7294.2848
45,-7314.3968
46,-7330.3224
47,-7341.4328
48,-7350.5232
49,-7379.4912
50,-7395.1632
51,-7411.9168
52,-7424.5696
53,-7436.3864
54,-7457.6496
55,-7468.672
56,-7483.1176
57,-7496.608
58,-7512.8912
59,-7526.2784
60,-7538.4544
61,-7548.6992
62,-7561.9472
63,-7579.2336
64,-7590.9512
65,-7605.3696
66,-7610.4112
67,-7637.0448
68,-7647.1104
69,-7658.9776
70,-7675.2024
71,-7680.552
72,-7691.9152
73,-7704.872
74,-7719.5048
75,-7728.6224
76,-7734.488
77,-7754.6784
78,-7766.2768
79,-7778.2704
80,-7786.796
81,-7790.2392
82,-7807.0752
83,-7815.3696
84,-7823.9792
85,-7844.5888
86,-7857.376
87,-7857.36
88,-7869.34
89,-7875.7736
90,-7895.1584
91,-7901.4912
92,-7916.0528
93,-7924.928
94,-7937.088
95,-7947.9232
96,-7953.8704
97,-7962.8216
98,-7969.3328
99,-7987.7024
100,-7992.1424
101,-7999.0528
102,-8009.1592
103,-8025.0736
104,-8029.1512
105,-8040.568
106,-8050.072
107,-8064.4984
108,-8064.3
109,-8068.8768
110,-8080.8128
111,-8089.2176
112,-8100.16
113,-8108.256
114,-8121.4128
115,-8124.8424
116,-8132.4688
117,-8146.7144
118,-8149.6752
119,-8158.1616
120,-8164.072
121,-8173.0912
122,-8182.8912
123,-8192.6728
124,-8200.7456
125,-8205.5536
126,-8213.7424
127,-8227.4352
128,-8228.4592
129,-8236.1664
130,-8240.1088
131,-8251.624
132,-8260.5144
133,-8263.5168
134,-8268.0816
135,-8284.3352
136,-8293.7248
137,-8290.0888
138,-8300.7472
139,-8306.7608
140,-8319.104
141,-8331.5896
142,-8333.3328
143,-8342.232
144,-8346.7976
145,-8359.4408
146,-8368.2168
147,-8372.112
148,-8382.6
149,-8377.8336
150,-8388.62
151,-8399.7344
152,-8400.3336
153,-8413.1376
154,-8421.3096
155,-8420.5312
156,-8431.2976
157,-8440.7568
158,-8437.5096
159,-8451.5648
160,-8458.392
161,-8465.576
162,-8468.1872
163,-8477.3616
164,-8481.3632
165,-8494.9232
166,-8495.0776
167,-8493.9376
168,-8507.8576
169,-8513.9488
170,-8519.6656
171,-8529.412
172,-8534.4304
173,-8541.9072
174,-8539.6032
175,-8552.2928
176,-8556.76
177,-8563.0176
178,-8569.5664
179,-8569.7408
180,-8574.768
181,-8582.4496
182,-8591.3808
183,-8588.5504
184,-8598.0624
185,-8611.004
186,-8619.1184
187,-8622.3688
188,-8626.0288
189,-8631.5152
190,-8641.1808
191,-8642.2816
192,-8649.5208
193,-8654.8256
194,-8660.4448
195,-8666.5712
196,-8675.4568
197,-8673.5664
198,-8688.48
199,-8689.1208
200,-8698.3472
201,-8700.144
202,-8704.8784
203,-8714.7552
204,-8716.3688
205,-8719.1912
206,-8728.8112
207,-8737.976
