,0
0,-9514.4792
1,-9516.0832
2,-9515.6248
3,-9526.1864
4,-9534.576
5,-9529.1624
6,-9536.9504
7,-9539.8816
8,-9542.808
9,-9545.6248
10,-9551.8016
11,-9550.9152
12,-9551.9888
13,-9560.9152
14,-9558.5128
15,-9565.7776
16,-9572.3472
17,-9576.9848
18,-9579.56
19,-9578.3
20,-9576.6016
21,-9586.1912
22,-9587.1392
23,-9589.7944
24,-9593.6552
25,-9594.1592
26,-9600.7232
27,-9599.2416
28,-9604.2008
29,-9611.684
30,-9607.78
31,-9609.8696
32,-9619.3656
33,-9620.1704
34,-9619.464
35,-9626.7024
36,-9628.2976
37,-9631.8968
38,-9633.6144
39,-9645.0512
40,-9643.3848
41,-9640.2584
42,-9641.7744
43,-9652.8048
44,-9653.2072
45,-9651.052
46,-9660.4816
47,-9660.4192
48,-9662.9024
49,-9667.464
50,-9670.3536
51,-9675.9824
52,-9677.2448
53,-9681.4288
54,-9684.6688
55,-9690.4032
56,-9692.7424
57,-9690.5928
58,-9695.56
59,-9694.2024
60,-9699.052
61,-9705.436
62,-9705.8736
63,-9717.1832
64,-9719.184
65,-9717.3176
66,-9723.4048
67,-9723.1936
68,-9726.7576
69,-9726.14
70,-9734.6704
71,-9737.7216
72,-9746.0896
73,-9746.5728
74,-9745.284
75,-9750.3984
76,-9754.2184
77,-9748.3416
78,-9755.2128
79,-9757.308
80,-9757.0968
81,-9758.984
82,-9765.896
83,-9771.6544
84,-9769.2072
85,-9772.448
86,-9775.296
87,-9782.0504
88,-9780.9608
89,-9788.916
90,-9788.536
91,-9791.0024
92,-9800.6424
93,-9796.0648
94,-9801.0648
95,-9803.4128
96,-9809.2064
97,-9812.8
98,-9809.2832
99,-9816.9776
100,-9818.3216
101,-9823.36
102,-9818.752
103,-9824.7376
104,-9824.2216
105,-9825.1832
106,-9829.0496
107,-9836.7096
108,-9840.8784
109,-9842.176
110,-9842.8088
111,-9847.2752
112,-9846.4992
113,-9854.9032
114,-9854.8928
115,-9854.3584
116,-9858.3536
117,-9863.5728
118,-9864.0016
119,-9864.9744
120,-9862.6952
121,-9871.8896
122,-9874.5888
123,-9871.0016
124,-9883.0408
125,-9879.7136
126,-9885.7664
127,-9885.5456
128,-9890.1648
129,-9889.2224
130,-9896.1512
131,-9898.8392
132,-9899.152
133,-9904.0688
134,-9903.504
135,-9899.4064
136,-9905.7552
137,-9913.5216
138,-9911.7328
139,-9914.2064
140,-9918.4816
141,-9920.2632
142,-9928.2464
143,-9925.6992
144,-9926.1072
145,-9933.4632
146,-9936.48
147,-9941.3416
148,-9944.168
149,-9949.5192
150,-9945.8064
151,-9947.6416
152,-9948.736
153,-9951.7304
154,-9951.2608
155,-9955.7952
156,-9960.9008
157,-9964.4224
158,-9967.632
159,-9972.048
160,-9978.8816
161,-9971.9648
162,-9977.044
163,-9980.1168
164,-9983.0688
165,-9979.2112
166,-9982.7088
167,-9988.4576
168,-9994.7408
169,-9994.2592
170,-9990.9128
171,-9996.1344
172,-10004.2152
173,-10003.3392
174,-10010.9728
175,-10010.6816
176,-10012.0408
177,-10013.7248
178,-10018.0384
179,-10016.2816
180,-10024.0976
181,-10030.268
182,-10025.924
183,-10031.4016
184,-10033.9856
185,-10037.9216
186,-10041.448
187,-10042.2848
188,-10043.6144
189,-10050.7608
190,-10047.1936
191,-10052.3336
192,-10046.9168
193,-10046.9312
194,-10054.4832
195,-10052.8416
196,-10064.0048
197,-10063.9624
198,-10067.1168
199,-10068.904
200,-10068.8824
201,-10071.744
202,-10077.7088
203,-10077.3504
204,-10079.2704
205,-10083.9904
206,-10090.2016
207,-10094.5136
208,-10091.68
209,-10101.4112
210,-10100.3424
211,-10104.088
212,-10101.5592
213,-10100.404
214,-10102.3048
215,-10110.2176
216,-10116.6704
217,-10115.9632
218,-10118.836
219,-10122.1184
220,-10117.2904
221,-10123.5552
222,-10123.1024
223,-10126.5184
224,-10127.9352
225,-10129.6944
226,-10132.3616
227,-10134.6784
228,-10139.1488
229,-10140.3392
230,-10144.5432
231,-10145.2672
232,-10148.912
233,-10151.756
234,-10155.9768
235,-10157.3328
236,-10154.3168
237,-10158.9248
238,-10159.7488
239,-10170.8872
240,-10169.788
241,-10171.4816
242,-10175.2176
243,-10174.8464
244,-10176.312
245,-10179.9056
246,-10184.68
247,-10179.5416
248,-10188.052
249,-10193.3864
250,-10194.2
251,-10196.6016
252,-10194.8448
253,-10196.9776
254,-10200.7872
255,-10199.9032
256,-10203.792
257,-10207.8944
258,-10213.4632
259,-10210.7312
260,-10223.0928
261,-10222.4256
262,-10223.244
263,-10221.672
264,-10226.2784
265,-10232.0136
266,-10230.464
267,-10232.288
268,-10232.9296
269,-10238.1384
270,-10233.3512
271,-10242.584
272,-10241.4784
273,-10248.7296
274,-10249.0808
275,-10247.0496
276,-10256.288
277,-10255.5048
278,-10251.3888
279,-10263.0432
280,-10262.7504
281,-10268.2688
282,-10269.3072
283,-10268.1136
284,-10273.8408
285,-10273.5536
286,-10275.8448
287,-10287.068
288,-10281.9528
289,-10280.9088
290,-10286.8624
291,-10287.94
292,-10293.5288
293,-10295.8464
294,-10293.8376
295,-10295.7568
296,-10304.24
297,-10308.7496
298,-10301.112
299,-10307.884
300,-10310.8144
301,-10308.7616
302,-10314.7376
303,-10316.3776
304,-10321.7408
305,-10323.6288
306,-10328.1856
307,-10327.584
308,-10327.7384
309,-10331.8064
310,-10332.7704
311,-10336.4128
312,-10333.5208
313,-10340.6544
314,-10342.9984
315,-10345.2928
316,-10346.1672
317,-10355.5144
318,-10351.4952
319,-10360.1296
320,-10360.8272
321,-10362.6232
322,-10359.736
323,-10365.3376
324,-10365.5144
325,-10362.8808
326,-10364.988
327,-10368.1688
328,-10374.2912
329,-10374.3632
330,-10376.168
331,-10378.0928
332,-10380.7808
333,-10380.6088
334,-10382.2368
335,-10388.0024
336,-10394.0288
337,-10392.5952
338,-10395.0624
339,-10397.1048
340,-10401.0864
341,-10406.056
342,-10405.9056
343,-10407.6248
344,-10410.9104
345,-10417.2032
346,-10416.6064
347,-10412.3152
348,-10419.4672
349,-10421.3528
350,-10426.5008
351,-10425.8136
352,-10429.6624
353,-10429.6896
354,-10430.7384
355,-10430.1832
356,-10427.8696
357,-10436.4608
358,-10436.8144
359,-10438.1576
360,-10434.032
361,-10441.1968
362,-10442.0744
363,-10444.96
364,-10445.9272
365,-10450.7048
366,-10448.9376
367,-10451.2136
368,-10459.5936
369,-10456.5264
370,-10459.4032
371,-10463.708
372,-10465.7536
373,-10466.3056
374,-10467.6056
375,-10473.128
376,-10473.3792
377,-10477.2824
378,-10480.1448
379,-10482.1344
380,-10484.912
381,-10485.8368
382,-10489.4464
383,-10491.4216
384,-10493.66
385,-10489.5696
386,-10490.3456
387,-10498.2192
388,-10502.3976
389,-10499.4048
390,-10502.5664
391,-10495.5152
392,-10504.884
393,-10508.4464
394,-10514.9344
395,-10515.416
396,-10516.5792
397,-10517.3616
398,-10514.4272
399,-10524.7808
400,-10524.4856
401,-10529.312
402,-10528.7064
403,-10533.0256
404,-10530.4864
